field,meaning,unit,provenance
slot,0起始的日历时段编号,—,附件/官方结果直接提取或单位换算
time_start,时段起点,HH:MM,附件/官方结果直接提取或单位换算
time_end,时段终点,HH:MM,附件/官方结果直接提取或单位换算
hour_start,绘图横坐标：时段起点,h,附件/官方结果直接提取或单位换算
hour_end,时段终点横坐标,h,附件/官方结果直接提取或单位换算
load_kw,实测小区负载功率,kW,附件/官方结果直接提取或单位换算
pv_kw,实测光伏功率,kW,附件/官方结果直接提取或单位换算
net_load_kw,净负载=负载-光伏，可为负,kW,附件/官方结果直接提取或单位换算
price_yuan_per_kwh,本时段交易电价,元/kWh,附件/官方结果直接提取或单位换算
planned_purchase_kwh,0:00原始计划购电量,kWh/时段,附件/官方结果直接提取或单位换算
adjusted_purchase_kwh,最终执行的调整购电量,kWh/时段,附件/官方结果直接提取或单位换算
planned_purchase_kw,计划购电平均功率,kW,附件/官方结果直接提取或单位换算
adjusted_purchase_kw,调整购电平均功率,kW,附件/官方结果直接提取或单位换算
charge_kwh,微网侧充电量，流入电池前,kWh/时段,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
discharge_kwh,微网侧放电量，电池输出后,kWh/时段,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
charge_kw,微网侧充电平均功率,kW,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
discharge_kw,微网侧放电平均功率,kW,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
storage_net_output_kw,储能对微网净输出：正为放电，负为充电,kW,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
emergency_purchase_kwh,紧急购电量,kWh/时段,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
emergency_purchase_kw,紧急购电平均功率,kW,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
curtailed_pv_kwh,弃光电量,kWh/时段,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
curtailed_pv_kw,弃光平均功率,kW,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
soc_start_kwh,时段起点储电量,kWh,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
soc_end_kwh,时段终点储电量,kWh,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
soc_min_kwh,储电量下限,kWh,附件/官方结果直接提取或单位换算
soc_max_kwh,储电量上限,kWh,附件/官方结果直接提取或单位换算
plan_cost_yuan,原始计划购电费,元/时段,附件/官方结果直接提取或单位换算
adjustment_cost_yuan,调整增量费用，退费可为负,元/时段,附件/官方结果直接提取或单位换算
emergency_cost_yuan,紧急购电费,元/时段,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
total_cost_yuan,计划+调整增量+紧急购电费,元/时段,按官方锁定购电量及原执行规则复算；已与4小时汇总及日末储电量核对
plan_source_cell,计划购电在官方工作簿中的来源单元格,—,附件/官方结果直接提取或单位换算
adjusted_source_cell,调整购电在官方工作簿中的来源单元格,—,附件/官方结果直接提取或单位换算
